#Source	"The Drug Repurposing Hub, Broad Institute"				
#URL	http://www.broadinstitute.org/repurposing				
#File_date	9/7/2018				
#Table_name	drug information				
#API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
#Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
#Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
#Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
#Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
PI-103	Preclinical	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC		
PI-828	Preclinical	PI3K inhibitor			
pibenzimol	Phase 2	DNA inhibitor			
piboserod	Phase 2	serotonin receptor antagonist	HTR2B|HTR4		
picartamide	Phase 2	H+/K+-ATPase inhibitor	ATP4A		
piceatannol	Preclinical	SYK inhibitor	ATP5A1|ATP5B|ATP5C1|IRF3		
piclamilast	Phase 2	phosphodiesterase inhibitor	PDE4A|PDE4B|PDE4C|PDE4D		
picolamine	Preclinical				
picolinic-acid	Phase 2	chelating agent			
piconol	Preclinical				
picotamide	Launched	thromboxane receptor antagonist|thromboxane synthase inhibitor	TBXA2R	hematology	thrombosis
picrotin	Phase 2	GABA receptor antagonist	GABRA1|GABRR1|GLRA1|GLRA2|GLRA3|GLRB		
picrotoxinin	Preclinical	GABA receptor antagonist	GLRA1|GLRA2|GLRA3|GLRB|HTR3A|HTR3B		
pidolic-acid	Launched		ADAM28|AMY1A|AMY2A|AMY2B|ANG|CCL8|HCRT|IGLC1|KRTAP5-2|TFF2|VEGFA	dermatology	xerosis cutis
pidotimod	Launched	interferon receptor agonist|interleukin receptor agonist		infectious disease	immune adjuvant
pifithrin-alpha	Preclinical	TP53 inhibitor	TP53		
pifithrin-cyclic	Preclinical	TP53 inhibitor	TP53		
pifithrin-mu	Preclinical	HSP inhibitor	HSPA1A|TP53		
PIK-293	Preclinical	PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG		
PIK-294	Preclinical	PI3K inhibitor	PIK3CB|PIK3CD|PIK3CG		
PIK-75	Preclinical	DNA protein kinase inhibitor|PI3K inhibitor	PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC		
PIK-93	Preclinical	PI3K inhibitor	PI4KB|PIK3C3|PIK3CG		
pikamilone	Phase 1				
piketoprofen	Launched	cyclooxygenase inhibitor		neurology/psychiatry	pain relief
pilaralisib	Phase 2	PI3K inhibitor			
pilocarpine	Launched	acetylcholine receptor agonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	ophthalmology|cardiology	glaucoma|hypertension
pilsicainide	Launched	sodium channel blocker	SCN5A	cardiology	cardiac arrythmia
PIM-1-Inhibitor-2	Preclinical	Pim kinase inhibitor	PIM1		
pimavanserin	Launched	serotonin receptor inverse agonist	DRD2|HTR2A		
pimecrolimus	Launched	calcineurin inhibitor	FKBP1A|MTOR	dermatology	eczema
pimethixene	Launched	antihistamine		neurology/psychiatry|allergy	attention-deficit/hyperactivity disorder (ADHD)|anxiety|sleep cycle support|allergic rhinitis
pimobendan	Launched	calcium sensitizer|phosphodiesterase inhibitor	PDE3A	cardiology	congestive heart failure
pimonidazole	Phase 3				
pimozide	Launched	dopamine receptor antagonist	CACNA1I|CALM1|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|KCNA10|KCNH2	neurology/psychiatry	Tourette's disorder
pinacidil	Launched	ATP channel activator|potassium channel activator	ABCC8|ABCC9	cardiology	hypertension
pinanediol	Preclinical				
pinaverium	Launched	T-type calcium channel blocker	CACNA1C	gastroenterology	irritable bowel syndrome
pincainide	Phase 1	antiarrhythmic			
pindolol	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|HTR1A|HTR1B|HTR2A|HTR2B	cardiology	hypertension
pindolol-(-)	Preclinical	adrenergic receptor antagonist|serotonin receptor antagonist	HTR1A		
pinitol	Phase 2	gamma secretase inhibitor			
pinocembrin	Phase 2	cytochrome P450 inhibitor	CYP1B1		
pioglitazone	Launched	insulin sensitizer|PPAR receptor agonist	PPARG|TRPM3	endocrinology	diabetes mellitus
pipamperone	Launched	dopamine receptor antagonist	DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A	neurology/psychiatry	schizophrenia
pipecuronium	Launched	neuromuscular blocker	CHRM2|CHRM3|CHRNA2	neurology/psychiatry	anesthetic
pipemidic-acid	Launched	topoisomerase inhibitor		infectious disease	gram-negative bacterial infections
pipenzolate	Launched	cholinergic receptor antagonist	CHRM1	neurology/psychiatry	spasms
piperacetazine	Launched	dopamine receptor antagonist		neurology/psychiatry	schizophrenia
piperacillin	Launched	bacterial cell wall synthesis inhibitor		infectious disease	intra-abdominal infections|skin infections|pelvic inflammatory disease|pneumonia
piperaquine-phosphate	Launched	antimalarial agent		infectious disease	malaria
piperazine	Launched	benzodiazepine receptor agonist	GABRB3	infectious disease	gastrointestinal roundworms
piperazinedione	Phase 2	DNA synthesis inhibitor			
piperidolate	Launched	acetylcholine receptor antagonist	CHRM1	neurology/psychiatry	spasms
piperine	Phase 1	monoamine oxidase inhibitor	MAOA|MAOB|TRPV1		
piperonyl-butoxide	Launched	cytochrome P450 inhibitor		infectious disease	lice
pipobroman	Launched	DNA alkylating agent		hematology	polycythemia vera|thrombocythemia
pipotiazine-palmitate	Launched	dopamine receptor antagonist|serotonin receptor antagonist	DRD1|DRD2|HTR1A|HTR2A		
piracetam	Launched	acetylcholine receptor agonist	GRIA1|GRIA2|GRIA3|GRIA4	neurology/psychiatry	senile dementia
pirarubicin	Launched	topoisomerase inhibitor	TOP2A	oncology	breast cancer
pirenoxine	Launched	AGE inhibitor		ophthalmology	cataracts
pirenperone	Preclinical	serotonin receptor antagonist	HTR2A|HTR7		
pirenzepine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	gastroenterology	peptic ulcer disease (PUD)
piretanide	Launched	glucocorticoid receptor agonist	SLC12A1|SLC12A2	cardiology	hypertension|edema
pirfenidone	Launched	TGF beta receptor inhibitor	FURIN|TNF	pulmonary	idiopathic pulmonary fibrosis (IPF)
piribedil	Launched	dopamine receptor agonist	ADRA1A|ADRA2A|ADRA2C|DRD2|DRD3|DRD4|HTR1A|HTR2B	neurology/psychiatry	Parkinson's Disease|dizziness
piricapiron	Phase 2	dopamine receptor antagonist|serotonin receptor antagonist	HTR2A		
pirinixic-acid	Preclinical	PPAR receptor agonist	PPARA		
pirlindole	Launched	monoamine oxidase inhibitor	MAOA	neurology/psychiatry	depression
piroctone-olamine	Launched			infectious disease	fungal infection
pirodavir	Phase 2				
piromidic-acid	Phase 2	bacterial DNA gyrase inhibitor			
piroxicam	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	rheumatology	osteoarthritis|rheumatoid arthritis
piroximone	Phase 2	phosphodiesterase inhibitor	PDE3A		
pirquinozol	Phase 1	histamine release inhibitor			
PIT	Preclinical	purinergic receptor antagonist	P2RY1		
pitavastatin	Launched	HMGCR inhibitor	HMGCR	endocrinology	hyperlipidemia
pivagabine	Launched	corticosteroid releasing factor receptor antagonist	CRHR1|CRHR2	neurology/psychiatry	depression
pivampicillin	Launched	bacterial cell wall synthesis inhibitor		pulmonary|infectious disease	bronchitis|pneumonia|gynecologic infections
pivanex	Phase 2	HDAC inhibitor	HDAC1|HDAC2|HDAC3|HDAC8		
pivmecillinam	Launched	bacterial cell wall synthesis inhibitor		infectious disease	urinary tract infections|gram-negative bacterial infections
pixantrone	Launched	topoisomerase inhibitor	TOP2A	hematologic malignancy	non-Hodgkin lymphoma (NHL)
pizotifen	Launched	serotonin receptor antagonist	HTR1A|HTR2A|HTR2C	neurology/psychiatry	migraine headache
PI3K-IN-2	Phase 2	PI3K inhibitor			
PI4KIII-beta-inhibitor-1	Preclinical	PI4K inhibitor	PI4K2B		
PJ-34	Preclinical	PARP inhibitor	EEF2|PARP1|PARP15|PARP3		
PK-THPP	Preclinical	potassium channel blocker	KCNK9		
PK-11195	Phase 1	benzodiazepine receptor antagonist	TSPO		
PK-44	Preclinical	dipeptidyl peptidase inhibitor	DPP4		
PKI-166	Phase 1	EGFR inhibitor	EGFR		
PKI-179	Phase 1	mTOR inhibitor|PI3K inhibitor	MTOR		
pleconaril	Phase 3				
plerixafor	Launched	CC chemokine receptor antagonist	ACKR3|CCR4|CXCR4	hematologic malignancy	non-Hodgkin lymphoma (NHL)|multiple myeloma
plicamycin	Launched	alcohol dehydrogenase inhibitor		oncology|endocrinology	testicular carcinoma|Paget's disease|hypercalcemia
plinabulin	Phase 3	tubulin polymerization inhibitor			
plovamer-acetate	Phase 2		TAT|TH|YARS|YARS2		
plurisin-#1	Preclinical	stearoyl-CoA desaturase inhibitor	SCD		
PLX-4720	Preclinical	RAF inhibitor	BRAF|KDR		
PLX-647	Preclinical	receptor tyrosine protein kinase inhibitor	CSF1R|KIT		
PLX8394	Phase 1/Phase 2	serine/threonine kinase inhibitor	BRAF		
PMPA	Preclinical	glutamate receptor antagonist	FOLH1		
PNU-120596	Preclinical	acetylcholine receptor agonist	CHRNA7		
PNU-142633	Phase 2	serotonin receptor agonist	HTR1D		
PNU-177864	Preclinical	dopamine receptor antagonist	DRD3		
PNU-22394	Phase 2	serotonin receptor agonist	HTR2A|HTR2B|HTR2C|MAOA|MAOB		
PNU-282987	Preclinical	cholinergic receptor agonist	CHRNA7		
PNU-37883	Preclinical	ATP-sensitive potassium channel antagonist			
PNU-74654	Preclinical	beta-catenin inhibitor	CTNNB1|TCF4		
PNU-89843	Preclinical	benzodiazepine receptor agonist	GABBR1		
podophyllotoxin	Launched	microtubule inhibitor|tubulin polymerization inhibitor	IGF1R|TOP2A|TUBA4A|TUBB	infectious disease	genital warts
polidocanol	Launched	local anesthetic		dermatology	varicose veins
polydatin	Phase 2	ICAM1 expression inhibitor	ICAM1		
polyinosine	Preclinical	immunostimulant	ADSSL1|HPRT1|IMPDH2|PYGM		
polymyxin-b-sulfate	Launched	bacterial permeability inducer		ophthalmology	eye infection
polythiazide	Launched	sodium/chloride cotransporter inhibitor	SLC12A3	cardiology|gastroenterology|rheumatology|nephrology	edema|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|acute glomerulonephritis (AGN)|chronic renal failure|hypertension
pomalidomide	Launched	angiogenesis inhibitor|tumor necrosis factor production inhibitor	CRBN|PTGS2|TNF	hematologic malignancy	multiple myeloma
ponatinib	Launched	Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor	ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK	hematologic malignancy	chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
ponesimod	Phase 3	sphingosine 1 phosphate receptor agonist	S1PR1		
posaconazole	Launched	sterol demethylase inhibitor	CYP3A4	infectious disease	oropharyngeal candidiasis
potassium-canrenoate	Launched	mineralocorticoid receptor antagonist	NR3C2	cardiology	edema
potassium-iodide	Launched			pulmonary	asthma|bronchitis|emphysema
potassium-p-aminobenzoate	Launched			rheumatology|urology	scleroderma|dermatomyositis|Peyronie's disease
pozanicline	Phase 2	acetylcholine receptor antagonist	CHRNA4|CHRNB2		
poziotinib	Phase 2	EGFR inhibitor	EGFR|ERBB2|ERBB4		
PP-1	Preclinical	src inhibitor	HCK|RET		
PP-121	Preclinical	protein tyrosine kinase inhibitor	ABL1|EGFR|HCK|KDR|MTOR|PDGFRA|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC|SRC		
PP-2	Preclinical	src inhibitor	ABL1|LCK|LYN|RIPK2|SRC		
PPT	Preclinical	estrogen receptor agonist	ESR1		
PPY-A	Preclinical	Abl kinase inhibitor	ABL1|BCR		
PP242	Preclinical	mTOR inhibitor	MTOR|PASK		
PQ-401	Preclinical	IGF-1 inhibitor	IGF1R		
PR-619	Preclinical	DUB inhibitor			
practolol	Withdrawn	adrenergic receptor antagonist	ADRB1		
pralatrexate	Launched	dihydrofolate reductase inhibitor	DHFR|TYMS	hematologic malignancy	peripheral T-cell lymphoma (PTCL)
pralidoxime	Launched	acetylcholinesterase inhibitor	ACHE|BCHE	critical care	organophosphate poisoning
pralidoxime-chloride	Launched	acetylcholinesterase inhibitor	ACHE|BCHE	pulmonary	respiratory depression
pramipexole	Launched	dopamine receptor agonist	ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C	neurology/psychiatry	Parkinson's Disease
pramiracetam	Launched	acetylcholine receptor agonist			
pramoxine	Launched	topical anesthetic		dermatology	corticosteroid-responsive dermatoses
pranidipine	Phase 2	calcium channel blocker	CACNA1C		
pranlukast	Launched	leukotriene receptor antagonist	CYSLTR1|CYSLTR2|IL5|MUC2|NFKB1|RNASE3|TNF	pulmonary	bronchospasm|asthma|bronchospasm|asthma
pranoprofen	Launched	cyclooxygenase inhibitor		neurology/psychiatry	pain relief
prasterone-acetate	Preclinical				
prasugrel	Launched	purinergic receptor antagonist	P2RY12	cardiology	myocardial infarction|acute coronary syndrome (ACS)
pravadoline	Preclinical	cyclooxygenase inhibitor	CNR1|CNR2		
pravastatin	Launched	HMGCR inhibitor	HMGCR|SLCO1B1	endocrinology|cardiology	hypercholesterolemia|myocardial infarction|hyperlipidemia
praziquantel	Launched	anthelmintic agent		infectious disease	gastrointestinal parasites|cystic hydatid disease|schistosomiasis
prazosin	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|KCNH2|KCNH6|KCNH7	cardiology	hypertension
PRE-084	Preclinical	sigma receptor agonist	SIGMAR1		
preclamol	Phase 2	dopamine receptor agonist	DRD2		
prednicarbate	Launched	phospholipase activator	NR3C1|PLA2G1B	dermatology|ophthalmology|neurology/psychiatry	eczema|contact dermatitis|itching
prednisolone	Launched	glucocorticoid receptor agonist	NR3C1|NR3C2|SERPINA6	ophthalmology|dermatology|infectious disease	conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis
prednisolone-acetate	Launched	glucocorticoid receptor agonist	NR3C1	ophthalmology|dermatology|infectious disease	conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis
prednisolone-hemisuccinate	Preclinical	glucocorticoid receptor agonist	NR3C1		
prednisolone-sodium-phosphate	Launched	glucocorticoid receptor agonist	NR3C1	allergy|pulmonary|ophthalmology|infectious disease|rheumatology|endocrinology|neurology/psychiatry|gastroenterology|hematology	allergic rhinitis|asthma|contact dermatitis|mycosis|lupus|hypercalcemia|thyroiditis|congenital adrenal hyperplasia|multiple sclerosis|ulcerative colitis|enteritis|thrombocythemia|pneumonia|asthma|meningitis|psoriatic arthritis|rheumatoid arthritis
prednisolone-tebutate	Launched	anti-inflammatory agent			
prednisone	Launched	glucocorticoid receptor agonist	HSD11B1|NR3C1	endocrinology|rheumatology|infectious disease|dermatology|ophthalmology|hematology|gastroenterology|neurology/psychiatry	congenital adrenal hyperplasia|hypercalcemia|rheumatoid arthritis|psoriatic arthritis|ankylosing spondylitis|bursitis|osteoarthritis|epicondylitis|dermatomyositis|psoriasis|mycosis|conjunctivitis|anemia|ulcerative colitis|enteritis|multiple sclerosis|meningitis
pregabalin	Launched	voltage-gated calcium channel ligand	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8	neurology/psychiatry|rheumatology	peripheral neuropathy|seizures|fibromyalgia|postherpetic neuralgia
pregnanolone	Phase 2	GABA receptor positive allosteric modulator			
pregnenolone	Launched	glutamate receptor modulator	CYP17A1|SULT2B1		
pregnenolone-succinate	Preclinical	GABA receptor negative allosteric modulator			
preladenant	Phase 3	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
prenylamine	Withdrawn	calcium channel blocker	CALM1|MYLK2		
presatovir	Phase 2	RSV fusion inhibitor			
pridinol	Launched	muscle relaxant		neurology/psychiatry	muscle relaxant
prilocaine	Launched	local anesthetic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	anesthetic
primaquine	Launched	antimalarial agent|DNA inhibitor	KRT7|NQO2	infectious disease	malaria
PRIMA1	Preclinical	TP53 inhibitor	ACHE		
primidone	Launched	GABA receptor antagonist	CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	seizures
prinaberel	Phase 2	estrogen receptor agonist	ESR2|NCOA1		
priralfinamide	Phase 3	sodium channel blocker	CACNA1B		
pritelivir	Phase 2	helicase primase inhibitor			
proacipimox	Phase 1	cholesterol inhibitor			
proadifen	Preclinical	nitric oxide synthase inhibitor	NOS1		
probenecid	Launched	uricosuric blocker	PANX1|SLC22A11|SLC22A6|SLC22A8|SLCO1C1	nephrology|rheumatology	hyperuricemia|gout
probucol	Launched	atherogenesis inhibitor	ABCA1|ABCB11|CES1	cardiology	coronary artery disease (CAD)
procainamide	Launched	sodium channel blocker	DNMT1|SCN5A	cardiology	ventricular arrhythmias|ventricular tachycardia (VT)
procaine	Launched	HMGCR inhibitor	CHRNA2|GRIN3A|HTR3A|KCNMA1|KCNMB1|KCNMB2|KCNMB3|KCNMB4|KCNN1|KCNN2|KCNN3|KCNN4|MAOA|MAOB|RYR1|RYR2|SCN10A|SLC6A3	neurology/psychiatry	anesthetic
procarbazine	Launched	monoamine oxidase inhibitor		hematologic malignancy	Hodgkin's lymphoma
procaterol	Launched	adrenergic receptor agonist	ADRB2	pulmonary	asthma
prochlorperazine	Launched	dopamine receptor antagonist	DRD1|DRD2|DRD3|DRD4	gastroenterology	nausea|vomiting
procodazole	Preclinical	immunostimulant			
procyanidin-b-2	Phase 2				
procyclidine	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4	neurology/psychiatry	parkinsonism|Parkinson's Disease|akathisia|dystonia
procysteine	Phase 3	glutathione synthase stimulant			
profenamine	Launched	butyrylcholinesterase inhibitor|cholinergic receptor antagonist	CHRM1|CHRM2|GRIN3A	neurology/psychiatry	Parkinson's Disease
proflavine-hemisulfate	Phase 2	topical anesthetic	F2		
progesterone	Launched	progesterone receptor agonist	CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5	obstetrics/gynecology|endocrinology	infertility|amenorrhea
proglumetacin	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	neurology/psychiatry	pain relief
proglumide	Withdrawn	CCK receptor antagonist	CCKAR|CCKBR		
proguanil	Launched	dihydrofolate reductase inhibitor	DHFR	infectious disease	malaria
prolylleucylglycinamide	Phase 2	melanocyte-stimulating hormone release inhibitor			
promazine	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C	neurology/psychiatry	schizophrenia
promestriene	Launched	estrogen receptor agonist	ESR1	endocrinology	androgenetic alopecia
promethazine	Launched	histamine receptor antagonist	ADRA1A|CALM1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR2A	neurology/psychiatry|allergy	sedative|allergic rhinitis
pronethalol	Withdrawn	adrenergic receptor antagonist			
propacetamol	Launched	cyclooxygenase inhibitor	PTGS2	endocrinology|neurology/psychiatry	fever|pain relief
propafenone	Launched	antiarrhythmic	ADRB1|ADRB2|KCNA5|KCNH2|SCN5A	cardiology	atrial fibrillation (AF)|ventricular tachycardia (VT)|ventricular arrhythmias
propagermanium	Launched	interferon receptor agonist|CCR agonist	CCR2	infectious disease	hepatitis B
propantheline	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4	gastroenterology	peptic ulcer disease (PUD)
propatylnitrate	Launched			cardiology	angina pectoris
propentofylline	Launched	adenosine reuptake inhibitor|phosphodiesterase inhibitor	PDE1A	neurology/psychiatry	stroke
propidium-iodide	Preclinical		ACHE		
propiolactone	Launched				
propiverine	Launched	acetylcholine receptor antagonist	CHRM1	urology	urinary incontinence
propofol	Launched	benzodiazepine receptor agonist	FAAH|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|SCN2A|SCN4A	neurology/psychiatry	anesthetic
propoxur	Launched				
propoxycaine	Launched	local anesthetic		neurology/psychiatry	anesthetic
propranolol	Launched	adrenergic receptor antagonist		cardiology|neurology/psychiatry	hypertension|angina pectoris|migraine headache
propranolol-(R)	Preclinical	adrenergic receptor antagonist	ADRB2|ADRB3		
propranolol-(S)	Preclinical	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3|HTR1A|HTR1B|HTR5A|SLC10A1		
propyl-benzoate	Launched				
propylene-glycol	Launched		F13A1		
propylhexedrine	Launched	adrenergic receptor agonist	SLC18A2|TAAR1	otolaryngology|endocrinology|allergy	nasal congestion|fever|allergic rhinitis
propylparaben	Launched				
propylthiouracil	Launched	thyroid peroxidase inhibitor	DIO1|TPO	endocrinology	hyperthyroidism|Grave's disease|goiter
proquazone	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2		
proscillaridin-a	Launched			cardiology	congestive heart failure|cardiac arrythmia
protionamide	Launched			infectious disease	tuberculosis
protirelin	Launched	thyrotropin releasing hormone receptor agonist	TRHR	radiology	thyroid function diagnostic
protoporphyrin-ix	Preclinical	heme oxygenase inhibitor	HMOX1		
protriptyline	Launched	tricyclic antidepressant	SLC6A2|SLC6A4	neurology/psychiatry	depression
proxodolol	Launched	adrenergic receptor antagonist			
proxyfan	Preclinical	histamine receptor modulator	HRH3		
proxymetacaine	Launched	sodium channel blocker	SCN10A|SCN5A	neurology/psychiatry	anesthetic
proxyphylline	Launched			pulmonary	asthma
PRT062070	Phase 1	JAK inhibitor|syk inhibitor	SYK		
PRT062607	Phase 2	syk inhibitor	FGR|MAP3K9|SYK		
PRT4165	Preclinical	polycomb repressive complex inhibitor	PRC1		
prucalopride	Launched	serotonin receptor agonist	HTR4	gastroenterology	constipation
prulifloxacin	Launched	bacterial DNA gyrase inhibitor		infectious disease|pulmonary|gastroenterology	urinary tract infections|bronchitis|diarrhea
pruvanserin	Phase 2	serotonin receptor antagonist	HTR2A|HTR2C		
PRX-08066	Phase 2	serotonin receptor antagonist	HTR2B		
PSB-06126	Preclinical	NTPDase inhibitor	ENTPD3		
PSB-11	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA3		
PSB-1115	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2B|ADORA3		
PSB-36	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
PSB-603	Preclinical	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3		
PSI-6130	Phase 1	RNA polymerase inhibitor			
PSI-7976	Preclinical	HCV inhibitor			
PSN-375963	Preclinical	glucose dependent insulinotropic receptor agonist	GPR119		
PSNCBAM-1	Preclinical	cannabinoid receptor modulator	CNR1		
psoralen	Launched		MAOA|MAOB	dermatology	psoriasis|eczema|vitiligo
PS178990	Phase 1	androgen receptor modulator	AR		
PT-2385	Phase 1	hypoxia inducible factor inhibitor	EPAS1		
PTC-209	Preclinical	BMI-1 inhibitor			
pterostilbene	Phase 2/Phase 3	cyclooxygenase inhibitor|PPAR receptor agonist	PTGS2		
PU-H71	Phase 1	HSP inhibitor	HSP90AA1		
puerarin	Phase 2	serotonin receptor antagonist			
pumosetrag	Phase 2	serotonin receptor agonist	HTR3A|HTR4		
purmorphamine	Preclinical	smoothened receptor agonist	SMO		
puromycin	Preclinical	protein synthesis inhibitor	NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1		
purvalanol-a	Preclinical	CDK inhibitor	CDK1|CDK2|CDK4|CDK5|CSNK1G3|RPS6KA1|SRC		
purvalanol-b	Preclinical	tyrosine kinase inhibitor	CDK2|CDK4|CDK5|MAPK1|MAPK3|SRPK2		
putrescine	Phase 2	tissue transglutaminase inhibitor	AMD1|KCNJ4|ODC1		
PX-12	Phase 2	thioredoxin inhibitor	TXN|TXNRD1		
PX-478	Phase 1	hypoxia inducible factor inhibitor			
PYM50028	Phase 2	neurotrophic agent			
PYR-41	Preclinical	ubiquitin activating enzyme inhibitor			
pyrantel	Launched	nicotinic receptor agonist		infectious disease	gastrointestinal roundworms|gastrointestinal roundworms
pyrantel-pamoate	Launched	neuromuscular blocker		infectious disease	hookworm|tapeworm
pyrantel-tartrate	Preclinical	acetylcholine receptor agonist	CHRNA1		
pyrazinamide	Launched	fatty acid synthase inhibitor	FASN	infectious disease	tuberculosis
pyrazinoylguanidine	Phase 1	diuretic			
pyrazolanthrone	Preclinical	JNK inhibitor	MAPK10|MAPK8|MAPK8IP1|MAPK9|TTK		
pyrazoloacridine	Phase 2	topoisomerase inhibitor	TOP1|TOP2A		
pyrethrins	Launched				
pyridoxal	Launched		PDXK	neurology/psychiatry	epilepsy
pyridoxal-isonicotinoyl-hydrazone	Phase 2	apoptosis stimulant			
pyridoxamine	Phase 3	AGE inhibitor			
pyridoxine	Launched	vitamin B	DDC|PDXK	metabolism	vitamin B6 deficiency
pyrimethamine	Launched	dihydrofolate reductase inhibitor	DHFR|SLC47A1	infectious disease	malaria
pyrintegrin	Preclinical	integrin signaling activator			
pyrithione-zinc	Launched	ATP synthase inhibitor	KCNQ1|KCNQ2|KCNQ4|KCNQ5	dermatology	dandruff
pyrithyldione	Withdrawn	psychoactive drug			
pyritinol	Launched			rheumatology|neurology/psychiatry	rheumatoid arthritis|senile dementia
pyronaridine	Phase 3	antimalarial agent			
pyroxamide	Phase 1	HDAC inhibitor	HDAC1		
pyrrolidine-dithiocarbamate	Preclinical	NFkB pathway inhibitor	HSD11B1|RELA		
pyrvinium	Launched	androgen receptor antagonist			
pyrvinium-pamoate	Launched	androgen receptor antagonist	AR		
P22077	Preclinical	ubiquitin specific protease inhibitor	USP7		
P276-00	Phase 2	CDK inhibitor	CDK1|CDK4|CDK9		
P5091	Preclinical	ubiquitin specific protease inhibitor	USP7		
P7C3	Preclinical	NAMPT inhibitor	NAMPT		
Q-203	Phase 1	ATP synthase inhibitor			
quazinone	Phase 2	phosphodiesterase inhibitor	PDE3A|PDE3B		
quercetin	Launched	polar auxin transport inhibitor	ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIK3CG|PIM1|STK17B|UGT3A1	neurology/psychiatry|allergy	fatigue|allergic rhinitis|drowsiness
