"","tsne.x","tsne.y","membership","pert_iname","clinical_phase","moa","target","disease_area","indication"
"prednisone",1.08438986574458,25.0031434429773,1,"prednisone","Launched","glucocorticoid receptor agonist","HSD11B1|NR3C1","endocrinology|rheumatology|infectious disease|dermatology|ophthalmology|hematology|gastroenterology|neurology/psychiatry","congenital adrenal hyperplasia|hypercalcemia|rheumatoid arthritis|psoriatic arthritis|ankylosing spondylitis|bursitis|osteoarthritis|epicondylitis|dermatomyositis|psoriasis|mycosis|conjunctivitis|anemia|ulcerative colitis|enteritis|multiple sclerosis|meningitis"
"pregnenolone",15.8470768692588,2.28982877056079,13,"pregnenolone","Launched","glutamate receptor modulator","CYP17A1|SULT2B1","",""
"prestwick-559",7.60705018229347,18.3810995955217,24,NA,NA,NA,NA,NA,NA
"prima-1-met",22.3255710599046,15.5991308356359,7,NA,NA,NA,NA,NA,NA
"PRIMA1",-3.61228655812916,27.8392377132484,1,"PRIMA1","Preclinical","TP53 inhibitor","ACHE","",""
"primaquine",9.88142212352464,-0.839099256199173,13,"primaquine","Launched","antimalarial agent|DNA inhibitor","KRT7|NQO2","infectious disease","malaria"
"primidone",15.4125562963964,22.496210885861,4,"primidone","Launched","GABA receptor antagonist","CHRNA4|CHRNA7|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA2|GRIK2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A","neurology/psychiatry","seizures"
"PRKAA1",15.0320660049522,-23.0459483798862,17,NA,NA,NA,NA,NA,NA
"PRKAB1",-21.0581862843925,-11.3201229173913,27,NA,NA,NA,NA,NA,NA
"PRKAB2",-17.9022255282156,-10.7944886688278,27,NA,NA,NA,NA,NA,NA
"PRKACA",-1.68402052555062,-25.2743216962326,8,NA,NA,NA,NA,NA,NA
"PRKACB",17.2951801802239,-22.931434188645,17,NA,NA,NA,NA,NA,NA
"PRKAG1",6.28784895643691,-19.7005365241795,16,NA,NA,NA,NA,NA,NA
"PRKAG2",-10.5803324811651,-14.2607434723459,28,NA,NA,NA,NA,NA,NA
"PRKAG3",-12.0854618061298,-21.4291091850022,20,NA,NA,NA,NA,NA,NA
"PRKAR1A",11.1495426226308,-14.3847305700315,26,NA,NA,NA,NA,NA,NA
"PRKAR2A",-23.4364803288747,-10.3975489226308,22,NA,NA,NA,NA,NA,NA
"PRKCA",-7.95057801022745,-23.4560761317696,10,NA,NA,NA,NA,NA,NA
"PRKCB",-1.07973611996401,-20.3603916744361,10,NA,NA,NA,NA,NA,NA
"PRKCE",7.35475361143417,-21.8951796811488,16,NA,NA,NA,NA,NA,NA
"PRKCH",18.2815827546554,-2.39909858762723,13,NA,NA,NA,NA,NA,NA
"PRKCQ",18.0489384804238,-15.6410768114346,9,NA,NA,NA,NA,NA,NA
"PRKCZ",-1.53617782605479,-29.847761525869,8,NA,NA,NA,NA,NA,NA
"PRKRIR",18.2186171696422,-20.0308701470984,9,NA,NA,NA,NA,NA,NA
"PRL-3-inhibitor-I",-4.98437333535135,1.82373509507004,11,NA,NA,NA,NA,NA,NA
"PRMT2",10.3139632875105,-25.8626465835965,17,NA,NA,NA,NA,NA,NA
"PRNP",6.43756047239117,-24.4359824602272,16,NA,NA,NA,NA,NA,NA
"proadifen",14.5291073874475,18.9797927941152,7,"proadifen","Preclinical","nitric oxide synthase inhibitor","NOS1","",""
"probenecid",1.29275822989486,32.2244272446392,1,"probenecid","Launched","uricosuric blocker","PANX1|SLC22A11|SLC22A6|SLC22A8|SLCO1C1","nephrology|rheumatology","hyperuricemia|gout"
"probucol",2.01264250066481,21.0150663626073,1,"probucol","Launched","atherogenesis inhibitor","ABCA1|ABCB11|CES1","cardiology","coronary artery disease (CAD)"
"PROC",-10.3208081682206,-14.278725279748,28,NA,NA,NA,NA,NA,NA
"procainamide",-12.5419312964458,20.1448074521848,23,"procainamide","Launched","sodium channel blocker","DNMT1|SCN5A","cardiology","ventricular arrhythmias|ventricular tachycardia (VT)"
"procarbazine",-26.3643799694598,10.0901234272461,21,"procarbazine","Launched","monoamine oxidase inhibitor","","hematologic malignancy","Hodgkin's lymphoma"
"procaterol",14.4405090626888,23.6862705663786,4,"procaterol","Launched","adrenergic receptor agonist","ADRB2","pulmonary","asthma"
"prochlorperazine",7.63627506077174,11.5971310943526,29,"prochlorperazine","Launched","dopamine receptor antagonist","DRD1|DRD2|DRD3|DRD4","gastroenterology","nausea|vomiting"
"PROCR",12.8144918838202,-2.15226786419889,13,NA,NA,NA,NA,NA,NA
"profenamine",6.00003574314359,16.1296075986745,24,"profenamine","Launched","butyrylcholinesterase inhibitor|cholinergic receptor antagonist","CHRM1|CHRM2|GRIN3A","neurology/psychiatry","Parkinson's Disease"
"progesterone",1.52176183664533,2.56792507403743,11,"progesterone","Launched","progesterone receptor agonist","CATSPER1|CATSPER2|CATSPER3|CATSPER4|CYP17A1|ESR1|NR3C2|OPRK1|PGR|TRPC5","obstetrics/gynecology|endocrinology","infertility|amenorrhea"
"proguanil",12.8369185603166,6.22446129190371,13,"proguanil","Launched","dihydrofolate reductase inhibitor","DHFR","infectious disease","malaria"
"PROKR1",-15.1256654365915,-10.2726822448765,27,NA,NA,NA,NA,NA,NA
"promazine",7.35144246206835,4.61501808128159,14,"promazine","Launched","dopamine receptor antagonist","ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|HRH1|HTR2A|HTR2C","neurology/psychiatry","schizophrenia"
"promethazine",12.5534245473894,29.2483211207398,4,"promethazine","Launched","histamine receptor antagonist","ADRA1A|CALM1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD2|HRH1|HTR2A","neurology/psychiatry|allergy","sedative|allergic rhinitis"
"propafenone",7.49995156791836,12.5925701863296,29,"propafenone","Launched","antiarrhythmic","ADRB1|ADRB2|KCNA5|KCNH2|SCN5A","cardiology","atrial fibrillation (AF)|ventricular tachycardia (VT)|ventricular arrhythmias"
"propentofylline",-18.3796765113515,5.8948714267754,15,"propentofylline","Launched","adenosine reuptake inhibitor|phosphodiesterase inhibitor","PDE1A","neurology/psychiatry","stroke"
"propofol",-11.7193934135781,10.4647954459079,2,"propofol","Launched","benzodiazepine receptor agonist","FAAH|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|SCN2A|SCN4A","neurology/psychiatry","anesthetic"
"propoxycaine",-27.8219531628231,8.2157877409203,21,"propoxycaine","Launched","local anesthetic","","neurology/psychiatry","anesthetic"
"propylpyrazole",-8.91362094684384,3.5792952221391,11,NA,NA,NA,NA,NA,NA
"proscillaridin",6.41043586251292,-6.76352222461264,19,NA,NA,NA,NA,NA,NA
"prostaglandin",7.47721765028495,32.0243845255608,12,NA,NA,NA,NA,NA,NA
"prostaglandin-a1",19.7484492295005,8.70408913603311,5,NA,NA,NA,NA,NA,NA
"prostaglandin-b2",-24.2537276997348,4.73523507695597,15,NA,NA,NA,NA,NA,NA
"prostaglandin-e1",7.94854907766139,29.9147612178498,12,NA,NA,NA,NA,NA,NA
"protein-tyrosine-phosphatase-inhibitor-IV",5.65758519512517,29.0049007940183,12,NA,NA,NA,NA,NA,NA
"prothionamide",9.46510025149521,19.7982647044373,24,NA,NA,NA,NA,NA,NA
"protopine",18.1795694630139,20.7807874105465,4,NA,NA,NA,NA,NA,NA
"protriptyline",6.28509447019902,22.2127208677731,24,"protriptyline","Launched","tricyclic antidepressant","SLC6A2|SLC6A4","neurology/psychiatry","depression"
"proxyfan",-16.3973868171356,21.4271417574313,23,"proxyfan","Preclinical","histamine receptor modulator","HRH3","",""
"proxymetacaine",3.00583466681858,33.0241328280217,1,"proxymetacaine","Launched","sodium channel blocker","SCN10A|SCN5A","neurology/psychiatry","anesthetic"
"PRPF4",-0.504904927896118,-27.7709146062297,16,NA,NA,NA,NA,NA,NA
"PRPF4B",-16.7732445111423,-26.4277055766216,20,NA,NA,NA,NA,NA,NA
"PRPF6",-1.72732718274941,-24.8256518418635,8,NA,NA,NA,NA,NA,NA
"PRR15L",-19.0813557457756,-17.6549206887629,27,NA,NA,NA,NA,NA,NA
"PRR7",-20.1700463997838,-8.78655763808036,22,NA,NA,NA,NA,NA,NA
"PRSS2",-12.7461783619533,-14.3322618655721,28,NA,NA,NA,NA,NA,NA
"PRSS23",18.9079178615229,-8.1829753624904,6,NA,NA,NA,NA,NA,NA
"PSAT1",13.1977475757049,-28.0687869195831,17,NA,NA,NA,NA,NA,NA
"PSB-06126",17.3777261209406,15.0042078964877,7,"PSB-06126","Preclinical","NTPDase inhibitor","ENTPD3","",""
"PSB-069",15.7371454592109,22.8815431990406,4,NA,NA,NA,NA,NA,NA
"PSB-11",14.8189209620048,17.4470512499295,7,"PSB-11","Preclinical","adenosine receptor antagonist","ADORA1|ADORA2A|ADORA3","",""
"PSB-1115",-13.0766040470193,15.4609724018319,2,"PSB-1115","Preclinical","adenosine receptor antagonist","ADORA1|ADORA2B|ADORA3","",""
"PSB-36",4.83857476845869,13.3854339448232,24,"PSB-36","Preclinical","adenosine receptor antagonist","ADORA1|ADORA2A|ADORA2B|ADORA3","",""
"PSEN1",17.9473885867056,-18.5462430268001,9,NA,NA,NA,NA,NA,NA
"PSEN2",6.28304933829526,-14.7759178983578,26,NA,NA,NA,NA,NA,NA
"pseudoephedrine",7.27452306591702,24.9484835943081,12,NA,NA,NA,NA,NA,NA
"pseudopelletierine",10.2268432894362,23.954386343439,4,NA,NA,NA,NA,NA,NA
"PSH-003",-21.6164657001614,4.35632915446741,15,NA,NA,NA,NA,NA,NA
"PSH-008",-16.9513767712483,1.9519289582442,15,NA,NA,NA,NA,NA,NA
"PSH-010",-4.51395120279862,6.31629173497306,11,NA,NA,NA,NA,NA,NA
"PSH-013",-13.6471259781033,5.08430549375888,15,NA,NA,NA,NA,NA,NA
"PSH-021",-20.9320666473397,5.05065123219817,15,NA,NA,NA,NA,NA,NA
"PSH-023",-19.5277286073461,3.77330424639339,15,NA,NA,NA,NA,NA,NA
"PSH-024",-9.80310920954086,6.07187636252858,11,NA,NA,NA,NA,NA,NA
"PSH-025",-17.1767094452386,3.88901492063959,15,NA,NA,NA,NA,NA,NA
"PSH-026",-21.3278557620309,4.84354487669631,15,NA,NA,NA,NA,NA,NA
"PSH-027",-18.4158894351338,4.35674010089559,15,NA,NA,NA,NA,NA,NA
"PSH-028",-15.0656600773423,4.20087129424457,15,NA,NA,NA,NA,NA,NA
"PSMA1",10.4070189255818,-11.4027097853137,26,NA,NA,NA,NA,NA,NA
"PSMA3",-5.59279654762188,-16.7287434475329,10,NA,NA,NA,NA,NA,NA
"PSMA5",-8.6578624077283,-21.7954445777101,10,NA,NA,NA,NA,NA,NA
"PSMA8",-14.7261435224418,-19.4396523487285,20,NA,NA,NA,NA,NA,NA
"PSMB1",-6.26330764053469,-16.1998985363912,28,NA,NA,NA,NA,NA,NA
"PSMB10",-8.104689663974,-19.9915804498703,10,NA,NA,NA,NA,NA,NA
"PSMB2",10.1981972088974,-11.409380702981,26,NA,NA,NA,NA,NA,NA
"PSMB7",-2.22995578793753,-18.7804976725127,10,NA,NA,NA,NA,NA,NA
"PSMB8",17.1026579121972,-7.73060076068746,6,NA,NA,NA,NA,NA,NA
"PSMB9",-7.61761047515388,-28.3597277925956,8,NA,NA,NA,NA,NA,NA
"PSMD10",-2.43580741388362,-25.8870663308493,8,NA,NA,NA,NA,NA,NA
"PSMD2",10.4151745165668,-11.5395882546195,26,NA,NA,NA,NA,NA,NA
"PSMD3",10.3488442193826,-11.6405522920386,26,NA,NA,NA,NA,NA,NA
"PSMD4",7.32583589220659,-15.4591263647707,26,NA,NA,NA,NA,NA,NA
"PSMD5",15.6426084086465,-21.5093904159262,17,NA,NA,NA,NA,NA,NA
"PSMD9",-12.1369553099994,-24.2349634268934,20,NA,NA,NA,NA,NA,NA
"PSME1",11.0387612401264,-26.3200618244441,17,NA,NA,NA,NA,NA,NA
"PSME2",11.6125120771836,-27.004462158711,17,NA,NA,NA,NA,NA,NA
"PSMF1",8.97927351178717,-15.1756419333801,26,NA,NA,NA,NA,NA,NA
"PSMG1",-16.0952948360031,-20.7228705620722,20,NA,NA,NA,NA,NA,NA
"PSPH",6.17304096561361,-16.1310843029444,26,NA,NA,NA,NA,NA,NA
"PT-630",-13.7031505780483,0.665131259937453,15,NA,NA,NA,NA,NA,NA
"PTB1",5.22775530915514,22.3266125681197,24,NA,NA,NA,NA,NA,NA
"PTEN",-2.44853449502097,-27.384928825954,8,NA,NA,NA,NA,NA,NA
"pterostilbene",-16.2166669962208,0.640838650512995,15,"pterostilbene","Phase 2/Phase 3","cyclooxygenase inhibitor|PPAR receptor agonist","PTGS2","",""
"PTGER4",-2.1892796221191,22.3023609387657,1,NA,NA,NA,NA,NA,NA
"PTGFR",15.4464352227911,-9.75844506252375,6,NA,NA,NA,NA,NA,NA
"PTGS2",-11.8996018638544,-15.0498523204079,28,NA,NA,NA,NA,NA,NA
"PTHLH",-21.9034606701622,-8.59579043031495,22,NA,NA,NA,NA,NA,NA
"PTK2",16.6068765190993,-15.0529369502988,9,NA,NA,NA,NA,NA,NA
"PTP4A3",-11.2764855597941,-27.7429198565473,20,NA,NA,NA,NA,NA,NA
"PTPLA",-3.27123512695955,-26.1172771738146,8,NA,NA,NA,NA,NA,NA
"PTPN12",-21.5502211422083,-20.7977624107477,27,NA,NA,NA,NA,NA,NA
"PTPN4",-11.3798465289945,-18.172168709294,28,NA,NA,NA,NA,NA,NA
"PTPN6",9.70345019094177,-14.5881923847355,26,NA,NA,NA,NA,NA,NA
"PTPRF",-15.3582928644479,-17.0019751793905,27,NA,NA,NA,NA,NA,NA
"PTRF",7.33860359931754,-13.6817629414246,26,NA,NA,NA,NA,NA,NA
"PTS",-2.63476538660965,-22.9876078872767,10,NA,NA,NA,NA,NA,NA
"PTTG1",-14.5796096944579,-18.9354139175837,20,NA,NA,NA,NA,NA,NA
"PU-H71",8.25417164555943,9.62348821328779,29,"PU-H71","Phase 1","HSP inhibitor","HSP90AA1","",""
"PUF60",12.6999545327285,-13.06809712012,26,NA,NA,NA,NA,NA,NA
"purmorphamine",-4.31478890877629,9.01960543513244,11,"purmorphamine","Preclinical","smoothened receptor agonist","SMO","",""
"puromycin",2.6657776544722,-4.4604905653121,19,"puromycin","Preclinical","protein synthesis inhibitor","NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1","",""
"purvalanol-a",15.71324306484,4.87516989286167,5,"purvalanol-a","Preclinical","CDK inhibitor","CDK1|CDK2|CDK4|CDK5|CSNK1G3|RPS6KA1|SRC","",""
"purvalanol-b",-20.6064395052196,4.66237051972207,15,"purvalanol-b","Preclinical","tyrosine kinase inhibitor","CDK2|CDK4|CDK5|MAPK1|MAPK3|SRPK2","",""
"PUS7L",17.6204991022746,-23.2237159019701,17,NA,NA,NA,NA,NA,NA
"PVR",11.2721985923325,-27.5296771225476,17,NA,NA,NA,NA,NA,NA
"PVRL2",-13.0453510338834,-12.3805382428986,27,NA,NA,NA,NA,NA,NA
"PWP1",-22.6165290180242,-20.6548554275069,27,NA,NA,NA,NA,NA,NA
"PX-12",7.69646149454552,-3.19619707503803,19,"PX-12","Phase 2","thioredoxin inhibitor","TXN|TXNRD1","",""
"PXK",9.82860549940361,-25.3138330076312,17,NA,NA,NA,NA,NA,NA
"PYCR1",-17.9016134179859,-17.7087403956945,27,NA,NA,NA,NA,NA,NA
"PYGL",-14.97923274948,-8.96999209362898,27,NA,NA,NA,NA,NA,NA
"pyrazolanthrone",1.73723659426628,8.77774583293317,11,"pyrazolanthrone","Preclinical","JNK inhibitor","MAPK10|MAPK8|MAPK8IP1|MAPK9|TTK","",""
"pyrimethamine",6.42200724363039,8.98959395275775,29,"pyrimethamine","Launched","dihydrofolate reductase inhibitor","DHFR|SLC47A1","infectious disease","malaria"
"pyroxamide",10.8447814186538,7.734931531642,25,"pyroxamide","Phase 1","HDAC inhibitor","HDAC1","",""
"pyrrolidine-dithiocarbamate",1.95211768851957,-5.84869354625298,19,"pyrrolidine-dithiocarbamate","Preclinical","NFkB pathway inhibitor","HSD11B1|RELA","",""
"pyrvinium-pamoate",6.1939879393694,-1.7513870361855,19,"pyrvinium-pamoate","Launched","androgen receptor antagonist","AR","",""
"QDPR",-0.460144547736339,-22.2870310800018,10,NA,NA,NA,NA,NA,NA
"QL-X-138",3.66963182785924,7.68981280235505,29,NA,NA,NA,NA,NA,NA
"QL-XI-92",6.67110855841766,5.78423751840783,14,NA,NA,NA,NA,NA,NA
"QL-XII-47",5.74414496248277,-7.27160779513113,19,NA,NA,NA,NA,NA,NA
"QPCT",12.7721462019293,-16.0995150142063,26,NA,NA,NA,NA,NA,NA
"QPRT",15.6989836952525,-8.89088232876615,6,NA,NA,NA,NA,NA,NA
"QRSL1",18.6268533460325,-15.9140087994485,9,NA,NA,NA,NA,NA,NA
"QS-11",4.24495395028276,-3.91842197994933,19,NA,NA,NA,NA,NA,NA
"quercetagetin",3.73290929859615,13.1855923359985,24,NA,NA,NA,NA,NA,NA
"quercetin",5.20248910227461,4.0241611972713,14,"quercetin","Launched","polar auxin transport inhibitor","ATP5A1|ATP5B|ATP5C1|HCK|HIBCH|PIK3CG|PIM1|STK17B|UGT3A1","neurology/psychiatry|allergy","fatigue|allergic rhinitis|drowsiness"
"quetiapine",6.56764554728061,22.1717193271147,24,"quetiapine","Launched","dopamine receptor antagonist|serotonin receptor antagonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A2","neurology/psychiatry","schizophrenia|bipolar disorder"
"quiflapon",0.330005881035661,1.31964708942548,11,"quiflapon","Phase 2","leukotriene synthesis inhibitor","ALOX5|ALOX5AP","",""
"quinapril",19.7231574263637,8.46623883362937,5,"quinapril","Launched","angiotensin converting enzyme inhibitor","ACE","cardiology","hypertension|congestive heart failure|angioedema"
"quinethazone",14.4246799465603,3.32744928701262,13,"quinethazone","Launched","thiazide diuretic","CA1|CA2|SLC12A1|SLC12A2|SLC12A3","cardiology","hypertension"
"quinidine",-10.8379509475652,18.4114727921149,2,"quinidine","Launched","sodium channel blocker","KCNA5|KCNA7|KCNH1|KCNH2|KCNH5|KCNK1|KCNK6|SCN5A|SLC29A4","infectious disease|cardiology","malaria|atrial fibrillation (AF)|ventricular arrhythmias"
"quinine",-11.9991381973432,10.9001273269389,2,"quinine","Launched","hemozoin biocrystallization inhibitor","GP9|KCNB2|KCNN4|SLC29A4","infectious disease","malaria"
"quinisocaine",7.72338596499597,33.0026880692309,12,NA,NA,NA,NA,NA,NA
"quinoclamine",2.78764489038931,-2.55433505763333,19,NA,NA,NA,NA,NA,NA
"quinpirole",24.1020980909201,14.421482854367,7,NA,NA,NA,NA,NA,NA
"quipazine",-11.9047145648849,16.4326014280922,2,"quipazine","Preclinical","serotonin receptor agonist","","",""
"quizartinib",-2.22222753730832,9.81809296455304,11,"quizartinib","Phase 3","FLT3 inhibitor","CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET","",""
"QW-BI-011",3.11478277995572,30.6893114642951,1,NA,NA,NA,NA,NA,NA
"QX-222",7.70750380761246,19.8812702414784,24,"QX-222","Preclinical","sodium channel blocker","","",""
"QX-314",-27.6723395401969,12.5399561815494,21,"QX-314","Preclinical","sodium channel blocker","MAPK14|TGFBR1","",""
"R-59022",7.0990658750682,22.907141122441,24,"R-59022","Preclinical","diacylglycerol kinase inhibitor|protein kinase inhibitor","DGKA","",""
"R-96544",7.36256533381825,12.3747181484199,29,"R-96544","Preclinical","serotonin receptor antagonist","HTR2A","",""
"r(-)-propylnorapomorphine",11.2966993330372,-0.528877105163544,13,NA,NA,NA,NA,NA,NA
"RAB11A",-10.8423711852633,-12.6190937802555,28,NA,NA,NA,NA,NA,NA
"RAB11FIP2",-14.7245237486946,-9.28334343910402,27,NA,NA,NA,NA,NA,NA
"RAB1B",-5.29666734982215,-21.1318930941739,10,NA,NA,NA,NA,NA,NA
"RAB21",0.300319034936098,-20.5457141047745,10,NA,NA,NA,NA,NA,NA
"RAB23",17.7007528515605,-15.3972400717678,9,NA,NA,NA,NA,NA,NA
"RAB27A",18.0140020572101,-10.2935158315231,6,NA,NA,NA,NA,NA,NA
"RAB31",15.9787274940603,-23.9558468707522,17,NA,NA,NA,NA,NA,NA
"RAB4A",6.7569272496,-30.8114790164207,16,NA,NA,NA,NA,NA,NA
"RAB5A",13.2178163844581,-24.5522950714387,17,NA,NA,NA,NA,NA,NA
"RABGGTA",-21.6092265661009,-20.8310706432619,27,NA,NA,NA,NA,NA,NA
"RAC1",15.1358459150261,-22.1224770393271,17,NA,NA,NA,NA,NA,NA
"racecadotril",-20.3487717795705,19.4884540376989,3,"racecadotril","Launched","enkephalinase inhibitor","MME","gastroenterology","diarrhea"
"racephedrine",3.96761756087419,31.4258747770096,1,NA,NA,NA,NA,NA,NA
"raclopride",5.20406286720229,27.2950699574071,12,"raclopride","Launched","dopamine receptor antagonist","DRD2|DRD3|HTR1A","",""
"RAD1",-8.55925297876154,-17.9475712810735,10,NA,NA,NA,NA,NA,NA
"RAD23B",-21.9319064224191,-16.2066320150575,27,NA,NA,NA,NA,NA,NA
"radicicol",2.22545519255503,-5.36657953559352,19,NA,NA,NA,NA,NA,NA
"RAE1",13.6196866857994,-11.7765004373565,6,NA,NA,NA,NA,NA,NA
"RAF1",18.0385220114215,-15.8506936884719,9,NA,NA,NA,NA,NA,NA
"RALA",-16.2905498003068,-16.5461907663758,27,NA,NA,NA,NA,NA,NA
"RALB",-17.1899880129471,-17.3560174676839,27,NA,NA,NA,NA,NA,NA
"RALBP1",19.9438600544042,-12.1248507492534,9,NA,NA,NA,NA,NA,NA
"raloxifene",-20.8945298653613,13.1653418944314,3,"raloxifene","Launched","estrogen receptor antagonist|selective estrogen receptor modulator (SERM)","ESR1|ESR2","orthopedics|oncology","osteoporosis|breast cancer"
"raltegravir",-18.831793131489,17.7322251241828,3,"raltegravir","Launched","HIV integrase inhibitor","","infectious disease","human immunodeficiency virus (HIV-1)"
"raltitrexed",-5.37671362129859,9.68173648664563,11,"raltitrexed","Launched","thymidylate synthase inhibitor","FPGS|TYMS","oncology","mesothelioma"
"ramipril",-12.5760777214442,-27.6365375733024,20,"ramipril","Launched","angiotensin converting enzyme inhibitor","ACE","cardiology","hypertension"
"RAMP1",-4.80604876875438,-19.7289974494258,10,NA,NA,NA,NA,NA,NA
"RAN",11.8861705164928,-18.8640988043145,17,NA,NA,NA,NA,NA,NA
"RAN-02",-23.6416786591385,2.9381961213044,15,NA,NA,NA,NA,NA,NA
"RAN-03",1.85307574721384,5.78338010474417,11,NA,NA,NA,NA,NA,NA
"RAN-05",1.85251414184754,1.85550037820018,11,NA,NA,NA,NA,NA,NA
"RAN-07",-4.10050975194347,5.2175701034616,11,NA,NA,NA,NA,NA,NA
"RAN-14A",1.99770692121202,28.6020694786563,1,NA,NA,NA,NA,NA,NA
"RAN-14B",-19.0404629783753,8.53992618838213,15,NA,NA,NA,NA,NA,NA
"RAN-27",1.67117405025191,1.91103652585415,11,NA,NA,NA,NA,NA,NA
"RAN-29",-3.618969784656,7.41833673042911,11,NA,NA,NA,NA,NA,NA
"RAN-30",6.70630985763569,18.1345351458757,24,NA,NA,NA,NA,NA,NA
"ranitidine",5.87719225635735,26.5736433580759,12,"ranitidine","Launched","histamine receptor antagonist","HRH2","gastroenterology","heartburn"
"ranolazine",18.4785922256483,19.2635766740799,4,"ranolazine","Launched","sodium channel blocker","SCN10A|SCN4A|SCN5A|SCN9A","cardiology","chronic stable angina"
"RAP1A",-15.1841532242502,-23.3352115570462,20,NA,NA,NA,NA,NA,NA
"RAP1GAP",19.0686880631075,-9.9344144369712,6,NA,NA,NA,NA,NA,NA
"RAP1GDS1",-17.3768463685753,-18.9572527073454,27,NA,NA,NA,NA,NA,NA
"RARA",15.1620354179696,-22.1356463316365,17,NA,NA,NA,NA,NA,NA
"RARB",-19.9879158137544,-12.1977951176439,27,NA,NA,NA,NA,NA,NA
"RARG",-8.56349531125658,-14.2088015354994,28,NA,NA,NA,NA,NA,NA
"RARRES3",-18.3110245891442,-12.7673067026364,27,NA,NA,NA,NA,NA,NA
"RASA1",19.2342756498871,-9.57864297458315,6,NA,NA,NA,NA,NA,NA
"RASD1",-7.82915409864778,-20.8596970940282,10,NA,NA,NA,NA,NA,NA
"RASGRP4",16.8786459164311,-25.125373368643,17,NA,NA,NA,NA,NA,NA
"RASSF1",7.03050086883741,-27.7719926478672,16,NA,NA,NA,NA,NA,NA
"RASSF2",16.613480201889,-14.597611274378,9,NA,NA,NA,NA,NA,NA
"razoxane",5.67727042872756,-11.5093362858637,26,NA,NA,NA,NA,NA,NA
"RBBP4",-15.3716567821739,-11.2163891340457,27,NA,NA,NA,NA,NA,NA
"RBBP6",2.19123173729946,-15.7167477600683,10,NA,NA,NA,NA,NA,NA
"RBBP7",-4.77863479617932,-20.1567729791861,10,NA,NA,NA,NA,NA,NA
"RBKS",-22.0081965362,-16.1233491813763,27,NA,NA,NA,NA,NA,NA
"RBM15B",11.031819169431,-20.6047915423389,17,NA,NA,NA,NA,NA,NA
"RBM6",11.9788585474704,-22.3781716584978,17,NA,NA,NA,NA,NA,NA
"RBMS1",-21.6380729997536,-9.10877069418604,22,NA,NA,NA,NA,NA,NA
"RBMX",-11.7811458317173,-15.1895194031083,28,NA,NA,NA,NA,NA,NA
"RBP4",11.3223955924427,-26.7563137163394,17,NA,NA,NA,NA,NA,NA
"RBPJ",-4.44683979212842,-18.5983355599898,10,NA,NA,NA,NA,NA,NA
"RBX1",-4.13060698166579,-19.9731655790352,10,NA,NA,NA,NA,NA,NA
"RCCD1",9.76814608785457,-27.5361333485733,17,NA,NA,NA,NA,NA,NA
"RCHY1",3.99222937557816,30.6102680741155,1,NA,NA,NA,NA,NA,NA
"RDBP",-9.71162174838972,-16.9880481365447,28,NA,NA,NA,NA,NA,NA
"RDH11",-11.4134472268506,-18.1544305923802,28,NA,NA,NA,NA,NA,NA
"RDX",-5.76931289957628,-19.5075418995127,10,NA,NA,NA,NA,NA,NA
"reboxetine",6.41394282602892,18.9332480113686,24,"reboxetine","Launched","adrenergic receptor antagonist","SLC6A2","neurology/psychiatry","depression"
"REEP5",18.5865135114149,-2.68404153970873,13,NA,NA,NA,NA,NA,NA
"RELB",-8.22973426757456,-22.4896354361272,10,NA,NA,NA,NA,NA,NA
"relcovaptan",7.86138903677459,22.3626575710731,24,"relcovaptan","Phase 2","vasopressin receptor antagonist","AVPR1A|AVPR1B|AVPR2|OXTR","",""
"remacemide",15.252277078213,23.1597716005117,4,"remacemide","Phase 3","glutamate receptor antagonist","GRIN1","",""
"remoxipride",7.87378303356808,27.5314627457066,12,"remoxipride","Withdrawn","dopamine receptor antagonist","DRD2|DRD3|DRD4|HTR2A|SIGMAR1","",""
"repaglinide",-7.31296672250688,5.53731921434407,11,"repaglinide","Launched","insulin secretagogue","ABCC8|KCNJ11|PPARG","endocrinology","diabetes mellitus"
"RERG",6.76222897604537,-25.7123562788564,16,NA,NA,NA,NA,NA,NA
